Subject,Survey,Experience in conceptual modeling,Knowledge of conceptual modeling languages,Expertise,Current position,Relator-centric (Rank),Akoka (Rank),Castano (Rank),Relator-centric Cohesion,Akoka Cohesion,Castano Cohesion,Ranking Motivation
11,ABC,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML)",Expert,Professor,1 (best),2,3 (worst),3,2,1,"Associative classes (although not represented as they should, imho), should not be broken down by modularization. Inheritance hierarchies should also be kept together, whenever possible."
12,ABC,4 to 8 years,"Unified Modeling Language (UML), OntoUML",Intermediate,Post-doctoral researcher,1 (best),2,3 (worst),4,2,0,"Based on ontology modules criteria: self-contained, loose coupling, and high cohesion"
13,ABC,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML, Object-Role Modeling (ORM)",Expert,Professor,1 (best),2,3 (worst),4,2,1,This approach seems to be centered around the relators. In the two alternatives it was sometimes strange that husband and wife were modeled in different models
14,ABC,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML)",Novice,PhD-level student,1 (best),2,3 (worst),4,1,3,"I preferred ALT-A because the main focus lied on one module as it contained more information than the other modules. It gave me the possibility to grab the purpose of the model. The other modules complemented well. Personally, I found it difficult to get the gist from ALT-B and ALT-C as the modules where too concise."
15,ABC,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML)",Intermediate,PhD-level student,1 (best),2,3 (worst),3,2,1,
16,ABC,4 to 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), Usecase driven model",Intermediate,PhD-level student,1 (best),2,3 (worst),3,2,1,"Because each package should consist of one domain class (ALT-A). Even though package ""living person"" in ALT-C has no main class (person) but the package has already consist of one class (living person). However, the packages in ALT-B has discrepancy as one package has two main classes (customer and organization), while other package is not complete (marriage -> wife)."
17,ABC,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Novice,BSc-level student,1 (best),3 (worst),2,4,1,2,
18,XYZ,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML, Object-Role Modeling (ORM)",Expert,Professor,1 (best),3 (worst),2,1,1,0,"ALT-X has in incomplete relationship. Although the lefthand side of ALT-Y is too complex, the relationships on the righthand side are nicely symmetric. ALT-Y lacks symmetry, but is not as bad as ALT-X, although the use of spacial visualization could be improved. "
19,XYZ,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Expert,Professor,1 (best),2,3 (worst),4,1,1,"First, I identified what are the main concepts to be represented in the domain: rental agency, marriage, employment. Then I associate to each concept, what  entities are requested to explain them. These sets are, for me, the best modules. "
20,XYZ,More than 8 years,"Unified Modeling Language (UML), OntoUML, SysML",Expert,Middle or senior level manager,1 (best),2,3 (worst),2,2,3,"Alt-y shows each reified relation in one place and more fully defines the relata.
Alt-x might be okay if it had hyperlinks to other diagrams that define the relata. 
Alt-z is just awful because it shows only one-armed reified relations. "
21,XYZ,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Expert,Professor,2,1 (best),3 (worst),4,3,2,"I prefer the alternatives ALT-X and ALT-Y because they group in a common module the main concepts of the business: Car Rental and its relations with a Car, a Customer and an Employee. In ALT-X I did not understand why the class Woman is not in the same module of Man. Further, the specialization relation between Man and Husband is not there. On the other hand I think that the ""main"" module of ALT-Y is very big. I would prefer if it was defined an extra module for the hierarchy of Person."
22,XYZ,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Expert,Professor,1 (best),2,3 (worst),4,1,1,"First, I identified what are the main concepts to be represented in the domain: rental agency, marriage, employment. Then I associate to each concept, what  entities are requested to explain them. These sets are, for me, the best modules. "
23,XYZ,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), Object-Role Modeling (ORM)",Novice,BSc-level student,3 (worst),1 (best),2,4,4,4,
24,XYZ,4 to 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), Object-Role Modeling (ORM)",Intermediate,Post-doctoral researcher,3 (worst),2,1 (best),4,3,0,ALT-X and ALT-Y keep a lot of redundancy.
25,XYZ,More than 8 years,"Unified Modeling Language (UML), OntoUML",Expert,MSc-level student,1 (best),2,3 (worst),4,2,1,"ALT-Z modularization does not show important relations that connect the concepts presented in each module. ALT-X is better in this sense, but does not show that Rental Car is subtype of Available Car, hiding an important business rule. ALT-Y modularization was the best since it presented all important core concepts related to Car Rental in one module, and additional relationships in other modules."
26,XYZ,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,PhD-level student,1 (best),2,3 (worst),3,2,1,
27,XYZ,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,Business analyst / architect,1 (best),2,3 (worst),2,3,1,A segunda alternativa oferece melhor entendimento das relações entre as classes principais
28,XYZ,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,MSc-level student,1 (best),2,3 (worst),4,3,1,"I think the ALT-X modularization gives a well organized grouping of concepts, but it fragments the understanding of the core concept of car rental. The ALT-Y modularization follows a similar line, presenting the core concept in a single module. The grouping of concepts made by ALT-Z is the worst for me."
29,XYZ,More than 8 years,"(Extended) Entity Relationship (ER), workflow lanaguages, storyboarding with SiteLang",Expert,Professor,1 (best),2,3 (worst),3,2,1,The componentisation has already been investigated in an ER-workshop long time ago. There are some principles to follow. See also the ER workshop CoMoL.
30,XYZ,4 to 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,Other IT staff position,1 (best),3 (worst),2,4,2,1,For me Alt-Y provides the best way of maintaining the relations between concepts. Concepts like marriage aren't broken up. And for example employee is clearly visible in the two modularizations and therefore the relations with other concepts are still clear.
31,XYZ,4 to 8 years,"Unified Modeling Language (UML), OntoUML",Intermediate,Professor,1 (best),3 (worst),2,3,2,2,Alt Y and Z seems to present hierarchy
32,XYZ,4 to 8 years,"Unified Modeling Language (UML), Archimate, BPMN",Expert,MSc-level student,1 (best),2,3 (worst),3,2,2,"X hides important business concepts, like customers that are natural persons. Y provides a well description of the core business and hides unnecessary complexity. Z focus only in active elements and its phases and lacks business definition."
33,XYZ,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML)",Novice,PhD-level student,3 (worst),2,1 (best),2,3,4,"For me, the more modularized, the more you can focus on the analyzed scope."
34,XYZ,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML, Object-Role Modeling (ORM)",Expert,Professor,1 (best),2,3 (worst),4,1,0,"Complete taxonomies, central concept (Car Rental) more contextualized"
35,XYZ,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML)",Novice,PhD-level student,1 (best),3 (worst),2,2,3,3,Blocks are selected in the most reasonable way
36,XYZ,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), Object-Role Modeling (ORM), BPMN, Goal modeling, Role modeling",Expert,Professor,1 (best),3 (worst),2,4,1,1,"The original diagram has conceptual difficulty in understanding the difference between objects and events (e.g. ""rental car"" and ""car rental""). Car rental is an association class between customer and car. The other three diagrams tried to tease out the difference between object and event. Only, ALTY shows the association between two objects that are involved in modeling the event. Also this diagram shows the ""role"" of an object. For example, Rental car is a role of 'Available car' because of the event 'car rental'. Another advantage of this model is it shows a pattern (X ISA type of Y because of the association between X and Z. This association is the event."
37,XYZ,4 to 8 years,"Unified Modeling Language (UML), OntoUML",Expert,System analyst / expert,1 (best),2,3 (worst),4,2,1,There is loss of information from the original model to ALT-X and ALT-Z. Model ALT-Y could be improved by cleaning hierarchical classes that do not have associations to other classes (the hiearchy could be represented in other modules - even if this means a duplicate representation of them).
38,IJK,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), SysML",Expert,Professor,1 (best),3 (worst),2,3,2,2,"I do not like neither of them. I do not like separate ""persons"" in different modules"
39,IJK,4 to 8 years,"Unified Modeling Language (UML), OntoUML",Intermediate,Software engineer,3 (worst),2,1 (best),3,4,4,ALT-I and ALT-J are simple and almost feels as a pure and simple categorization although they have more information than a simple taxonomy. They work similar as our brain. If these models are intended to be used and readable by humans I think they are the best options.
40,IJK,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Expert,PhD-level student,1 (best),2,3 (worst),3,4,2,
41,IJK,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,PhD-level student,1 (best),3 (worst),2,3,1,2,
42,IJK,More than 8 years,"Unified Modeling Language (UML), OntoUML",Expert,Professor,1 (best),2,3 (worst),4,2,4,"In my point of view, modules should capture a context (in a vague sense) that is auto-contained and has all the concepts, relations, and properties that are necessary for talking about that context. Also, it is necessary to preserve in each module the concepts that provide identity to the concepts that are relevant for that context. Also, if a given modulo includes a concept X and X is (existentially or relationally) dependent on Y, thus Y should be included in the model as well."
43,IJK,More than 8 years,(Extended) Entity Relationship (ER),Intermediate,Professor,3 (worst),2,1 (best),2,3,3,How I could understand them without being lost in too much detail.
44,IJK,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML, Object-Role Modeling (ORM)",Intermediate,PhD-level student,3 (worst),2,1 (best),1,2,3,Size of models.
45,IJK,0 to 4 years,OntoUML,Novice,Professor,1 (best),2,3 (worst),2,0,0,"Primarily, I tore apart many relationships (with some participant roles thus missing), and J also at least one. This is related to the fact that I and J partitioned the multi-domain into separate domains such that there was no overlap. However, if the modules are to be meaningful and interoperable, there obviously must be some overlaps in concepts."
46,IJK,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), Object-Role Modeling (ORM)",Expert,System analyst / expert,1 (best),3 (worst),2,0,0,1,"I and J are not representing the same reality as the original diagram, they are both equally worst."
47,IJK,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,Post-doctoral researcher,1 (best),3 (worst),2,4,1,2,"Overall, ALT-K was the clearest diagram, and easiest for immediate interpretation. The concepts in green were also more clearly organized."
48,IJK,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML)",Expert,Professor,2,1 (best),3 (worst),2,2,2,"I don't like any of the models (because of how inheritance is used to represent behavioural aspects), but I is the worst because a module have 'car rental' as central entity (green) is missing.  J is the best representation of high-level concepts."
49,IJK,4 to 8 years,Unified Modeling Language (UML),Intermediate,Post-doctoral researcher,1 (best),2,3 (worst),4,3,1,"Alt-k makes more sense to me wrt the intended semantics of classes; e.g., husband (wife) as a man (woman) that is married. Although I would have likely created a module for persons (life and age status) apart from organizations. "
50,IJK,4 to 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,Software engineer,3 (worst),2,1 (best),1,4,3,use smaller components
51,IJK,0 to 4 years,"Unified Modeling Language (UML), OntoUML",Expert,Post-doctoral researcher,3 (worst),2,1 (best),1,3,4,Modularity is the key
52,IJK,4 to 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,Data Scientist,1 (best),2,3 (worst),4,3,2,"ALT-I highlights the entities, while ALT-J highlights the relations. However, the modularization on both skip potentially essential parts of the ""micro-context"", e.g. on ALT-I skips the relation and cardinality of Marriage -> involves_husband -> Husband and we know that in some cultures this cardinality may be different than 1 (1 husband may have multiple marriages). ALT-K, on the other hand, replicates the entities in different modules, making it easy to  identify how all the pieces connect. "
53,IJK,0 to 4 years,OntoUML,Novice,project manger,1 (best),3 (worst),2,3,0,1,"ALT I and J are not intuitive, while K is intuitive and logical (involves the relevant attributes)"
54,IJK,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML, Object-Role Modeling (ORM), ConML",Expert,Professor,1 (best),2,3 (worst),0,3,2,"Separation of concerns, generalisation hierarchies."
55,IJK,4 to 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML)",Expert,Post-doctoral researcher,3 (worst),2,1 (best),1,1,2,it allows a more detailed focus
56,IJK,4 to 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Expert,Software engineer,1 (best),2,3 (worst),4,2,0,"Helps understand the whole model. Classes that are important to understand a context in one module, unrelated in another"
57,IJK,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), Core Model Language",Expert,Business analyst / architect,1 (best),2,3 (worst),3,1,0,"The fist two alternatives where too fragmented, not showing meaningful contexts"
58,IJK,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML)",Intermediate,Professor,1 (best),2,3 (worst),3,2,1,The Alt-K alternative offer modules with a more holistic overview and self-conteined view. 
59,IJK,4 to 8 years,"Unified Modeling Language (UML), OntoUML",Expert,PhD-level student,2,1 (best),3 (worst),3,3,2,"All options have their shortcomings, but ALT-J is the one focusing the most on the interactions between actors in the business model. ALT-K could be even better, but the inclusion of whole specialization hierarchies for the involved roles hurts the goal of modularization. I could not find the criteria for modularization in ALT-I."
60,IJK,More than 8 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,Professor,3 (worst),1 (best),2,1,3,2,All of them are unsatisfactory because they separate concepts improperly
61,IJK,0 to 4 years,"(Extended) Entity Relationship (ER), Unified Modeling Language (UML), OntoUML",Intermediate,PhD-level student,1 (best),3 (worst),2,3,1,2,"the purpose of division is helping for better understanding of the whole model. Thus,  ALT-K (division regarding relationship but without removing connected classes or entities )  provides for me better understanding and also manage the complexity.  ALT-J for me doesn't provide good understanding for the case. ALT-I	(division regarding  regarding classes) also is fine but missing domain case meaning. However, why we have (Marriage relation)
I think, it add nothing to the conceptual model and for modularization.  I prefer if  you add more info about your division strategy."
62,IJK,0 to 4 years,"Unified Modeling Language (UML), OntoUML",Novice,Business analyst / architect,1 (best),3 (worst),2,4,1,3,"ALT-K seems to give the most complete overview of the most important concepts, while still being quite easily readable. In ALT-J I'm kind of lost in how the different highlighted concepts are related to each other."
